,CPU Name,CPU Mark (higher is better),Rank (lower is better),CPU Value (higher is better),Price (USD)
3864,Intel Xeon E5-2670 v3 @ 2.30GHz,13507,1126,136.5,$98.95
3865,Intel Xeon E5-2673 v2 @ 3.30GHz,12297,1209,,
3866,Intel Xeon E5-2673 v3 @ 2.40GHz,14218,1090,20.31,$700.00*
3867,Intel Xeon E5-2673 v4 @ 2.30GHz,21009,722,236.06,$89.00*
3868,Intel Xeon E5-2675 v3 @ 1.80GHz,13180,1153,,
3869,Intel Xeon E5-2676 v3 @ 2.40GHz,13381,1136,,
3870,Intel Xeon E5-2676 v4 @ 2.40GHz,18978,832,,
3871,Intel Xeon E5-2678 v3 @ 2.50GHz,14704,1045,138.47,$106.19*
3872,Intel Xeon E5-2679 v4 @ 2.50GHz,24131,587,8.93,"$2,702.00*"
3873,Intel Xeon E5-2680 @ 2.70GHz,9358,1410,2.55,"$3,668.00"
3874,Intel Xeon E5-2680 v2 @ 2.80GHz,12686,1184,60.7,$209.00*
3875,Intel Xeon E5-2680 v3 @ 2.50GHz,14916,1033,99.44,$150.00
3876,Intel Xeon E5-2680 v4 @ 2.40GHz,17422,921,82.2,$211.95
3877,Intel Xeon E5-2680R v4 @ 2.40GHz,17487,913,,
3878,Intel Xeon E5-2682 v4 @ 2.50GHz,18795,841,,
3879,Intel Xeon E5-2683 v3 @ 2.00GHz,14802,1039,77.92,$189.95
3880,Intel Xeon E5-2683 v4 @ 2.10GHz,17507,912,53.06,$329.95*
3881,Intel Xeon E5-2685 v3 @ 2.60GHz,12944,1170,,
3882,Intel Xeon E5-2686 v3 @ 2.00GHz,18148,882,,
3883,Intel Xeon E5-2686 v4 @ 2.30GHz,19871,785,,
3884,Intel Xeon E5-2687W @ 3.10GHz,10006,1352,47.66,$209.95
3885,Intel Xeon E5-2687W v2 @ 3.40GHz,12249,1214,,
3886,Intel Xeon E5-2687W v3 @ 3.10GHz,14708,1044,26.74,$549.95
3887,Intel Xeon E5-2687W v4 @ 3.00GHz,17721,903,24.63,$719.45*
3888,Intel Xeon E5-2689 @ 2.60GHz,9553,1388,52.27,$182.75*
3889,Intel Xeon E5-2689 v4 @ 3.10GHz,17049,939,,
3890,Intel Xeon E5-2690 @ 2.90GHz,9759,1375,,
3891,Intel Xeon E5-2690 v2 @ 3.00GHz,13410,1133,66.0,$203.19
3892,Intel Xeon E5-2690 v3 @ 2.60GHz,16050,987,802.9,$19.99*
3893,Intel Xeon E5-2690 v4 @ 2.60GHz,19325,814,,
3894,Intel Xeon E5-2692 v2 @ 2.20GHz,12119,1219,,
3895,Intel Xeon E5-2695 v2 @ 2.40GHz,13325,1140,193.12,$69.00
3896,Intel Xeon E5-2695 v3 @ 2.30GHz,16713,952,49.16,$339.95
3897,Intel Xeon E5-2695 v4 @ 2.10GHz,18923,834,3.05,"$6,208.00*"
3898,Intel Xeon E5-2696 v2 @ 2.50GHz,14062,1097,,
3899,Intel Xeon E5-2696 v3 @ 2.30GHz,21545,702,39.39,$546.99*
3900,Intel Xeon E5-2696 v4 @ 2.20GHz,24917,557,13.62,"$1,829.95"
3901,Intel Xeon E5-2697 v2 @ 2.70GHz,14283,1078,73.84,$193.44
3902,Intel Xeon E5-2697 v3 @ 2.60GHz,18279,870,,
3903,Intel Xeon E5-2697 v4 @ 2.30GHz,20959,728,16.4,"$1,277.90"
3904,Intel Xeon E5-2697A v4 @ 2.60GHz,21611,697,,
3905,Intel Xeon E5-2697R v4 @ 2.30GHz,20843,734,,
3906,Intel Xeon E5-2698 v3 @ 2.30GHz,18892,836,2.15,"$8,790.00*"
3907,Intel Xeon E5-2698 v4 @ 2.20GHz,22534,650,24.8,$908.70*
3908,Intel Xeon E5-2698B v3 @ 2.00GHz,16287,973,,
3909,Intel Xeon E5-2698R v4 @ 2.20GHz,25605,535,,
3910,Intel Xeon E5-2699 v3 @ 2.30GHz,20014,783,37.77,$529.95
3911,Intel Xeon E5-2699 v4 @ 2.20GHz,25105,547,15.73,"$1,595.95"
3912,Intel Xeon E5-2699A v4 @ 2.40GHz,26812,500,5.43,"$4,938.00*"
3913,Intel Xeon E5-2699C v4 @ 2.20GHz,21275,710,,
3914,Intel Xeon E5-4603 @ 2.00GHz,3391,2511,7.55,$449.00*
3915,Intel Xeon E5-4607 v2 @ 2.60GHz,6986,1700,95.96,$72.80*
3916,Intel Xeon E5-4610 @ 2.40GHz,6460,1788,30.58,$211.23*
3917,Intel Xeon E5-4610 v3 @ 1.70GHz,7229,1657,5.93,"$1,219.00*"
3918,Intel Xeon E5-4617 @ 2.90GHz,6298,1824,175.52,$35.88*
3919,Intel Xeon E5-4620 @ 2.20GHz,6872,1713,116.93,$58.77
3920,Intel Xeon E5-4620 v2 @ 2.60GHz,9424,1401,103.56,$91.00*
3921,Intel Xeon E5-4620 v3 @ 2.00GHz,10525,1316,521.58,$20.18*
3922,Intel Xeon E5-4627 v2 @ 3.30GHz,9425,1400,18.89,$498.95*
3923,Intel Xeon E5-4627 v3 @ 2.60GHz,11344,1268,4.73,"$2,400.00*"
3924,Intel Xeon E5-4627 v4 @ 2.60GHz,12969,1169,12.97,$999.99*
3925,Intel Xeon E5-4628L v4 @ 1.80GHz,11503,1255,4.54,"$2,535.00*"
3926,Intel Xeon E5-4640 @ 2.40GHz,7012,1690,2.34,"$2,999.99*"
3927,Intel Xeon E5-4640 v3 @ 1.90GHz,10372,1325,,
3928,Intel Xeon E5-4648 v3 @ 1.70GHz,9061,1444,,
3929,Intel Xeon E5-4650 @ 2.70GHz,8407,1494,600.89,$13.99*
3930,Intel Xeon E5-4650 v2 @ 2.40GHz,10818,1301,43.28,$249.95*
3931,Intel Xeon E5-4650 v3 @ 2.10GHz,10838,1299,2.82,"$3,838.00*"
3932,Intel Xeon E5-4650 v4 @ 2.20GHz,16225,976,165.56,$98.00*
3933,Intel Xeon E5-4650L @ 2.60GHz,8533,1485,1.58,"$5,389.01*"
3934,Intel Xeon E5-4655 v3 @ 2.90GHz,9377,1405,2.03,"$4,616.00*"
3935,Intel Xeon E5-4655 v4 @ 2.50GHz,10912,1294,2.36,"$4,616.00*"
3936,Intel Xeon E5-4657L v2 @ 2.40GHz,11613,1250,15.46,$751.19*
3937,Intel Xeon E5-4660 v3 @ 2.10GHz,14256,1081,2.97,"$4,800.00*"
3938,Intel Xeon E5-4660 v4 @ 2.20GHz,15375,1015,4.26,"$3,609.00*"
3939,Intel Xeon E5-4667 v3 @ 2.00GHz,15397,1014,2.69,"$5,729.00*"
3940,Intel Xeon E5-4667 v4 @ 2.20GHz,20319,765,3.55,"$5,729.00*"
3941,Intel Xeon E5-4669 v3 @ 2.10GHz,17430,920,3.23,"$5,400.00*"
3942,Intel Xeon E5-4669 v4 @ 2.20GHz,11523,1254,,
3943,Intel Xeon E5205 @ 1.86GHz,838,4205,58.75,$14.27*
3944,Intel Xeon E5240 @ 3.00GHz,1448,3614,16.32,$88.78*
3945,Intel Xeon E5310 @ 1.60GHz,1306,3722,26.65,$49.00*
3946,Intel Xeon E5320 @ 1.86GHz,1469,3603,37.91,$38.75*
3947,Intel Xeon E5335 @ 2.00GHz,1549,3543,87.15,$17.77*
3948,Intel Xeon E5345 @ 2.33GHz,1868,3321,124.61,$14.99*
3949,Intel Xeon E5405 @ 2.00GHz,1750,3406,16.66,$105.00*
3950,Intel Xeon E5410 @ 2.33GHz,2032,3213,23.09,$88.00
3951,Intel Xeon E5420 @ 2.50GHz,2022,3222,8.09,$249.95*
3952,Intel Xeon E5430 @ 2.66GHz,2251,3083,9.79,$229.95*
3953,Intel Xeon E5440 @ 2.83GHz,2385,2997,62.77,$37.99*
3954,Intel Xeon E5450 @ 3.00GHz,2571,2891,69.49,$36.99*
3955,Intel Xeon E5462 @ 2.80GHz,2231,3100,9.87,$226.00*
3956,Intel Xeon E5472 @ 3.00GHz,2333,3032,116.4,$20.04*
3957,Intel Xeon E5502 @ 1.87GHz,837,4206,21.47,$39.00*
3958,Intel Xeon E5503 @ 2.00GHz,804,4236,6.28,$128.00*
3959,Intel Xeon E5504 @ 2.00GHz,1489,3591,51.34,$29.00*
3960,Intel Xeon E5506 @ 2.13GHz,1961,3257,22.13,$88.63*
3961,Intel Xeon E5507 @ 2.27GHz,1905,3298,19.05,$100.00*
3962,Intel Xeon E5520 @ 2.27GHz,2533,2913,93.85,$26.99*
3963,Intel Xeon E5530 @ 2.40GHz,2739,2796,91.33,$29.99*
3964,Intel Xeon E5540 @ 2.53GHz,2805,2767,31.55,$88.93*
3965,Intel Xeon E5603 @ 1.60GHz,1935,3273,21.74,$89.00*
3966,Intel Xeon E5606 @ 2.13GHz,2384,2998,29.8,$80.00*
3967,Intel Xeon E5607 @ 2.27GHz,2686,2825,95.98,$27.99*
3968,Intel Xeon E5620 @ 2.40GHz,3623,2431,120.76,$30.00
3969,Intel Xeon E5630 @ 2.53GHz,3809,2365,24.73,$154.00*
3970,Intel Xeon E5640 @ 2.67GHz,3837,2355,55.52,$69.10*
3971,Intel Xeon E5645 @ 2.40GHz,4972,2105,36.29,$137.00*
3972,Intel Xeon E5649 @ 2.53GHz,5659,1951,43.55,$129.95*
3973,Intel Xeon E7- 2830 @ 2.13GHz,2027,3218,1.14,"$1,779.00*"
3974,Intel Xeon E7-4809 v2 @ 1.90GHz,16471,960,,
3975,Intel Xeon E7-8880 v3 @ 2.30GHz,18244,874,137.17,$133.00*
3976,Intel Xeon E7-8891 v3 @ 2.80GHz,21615,696,3.16,"$6,841.00*"
3977,Intel Xeon E7320 @ 2.13GHz,1469,3602,,
3978,Intel Xeon Gold 5115 @ 2.40GHz,14875,1035,40.32,$368.91
3979,Intel Xeon Gold 5117 @ 2.00GHz,16487,959,,
3980,Intel Xeon Gold 5118 @ 2.30GHz,16694,953,37.19,$448.95*
3981,Intel Xeon Gold 5120 @ 2.20GHz,18343,868,11.75,"$1,561.00*"
3982,Intel Xeon Gold 5120T @ 2.20GHz,18127,884,10.5,"$1,727.00*"
3983,Intel Xeon Gold 5122 @ 3.60GHz,8883,1451,26.92,$329.95
3984,Intel Xeon Gold 5215 @ 2.20GHz,16304,972,11.45,"$1,424.00*"
3985,Intel Xeon Gold 5215 @ 2.50GHz,15719,996,15.74,$998.95
3986,Intel Xeon Gold 5217 @ 3.00GHz,15429,1011,11.88,"$1,298.95"
3987,Intel Xeon Gold 5218 @ 2.30GHz,21671,692,63.74,$340.00
3988,Intel Xeon Gold 5218R @ 2.10GHz,24742,565,32.11,$770.65
3989,Intel Xeon Gold 5218T @ 2.10GHz,21433,706,15.89,"$1,349.00*"
3990,Intel Xeon Gold 5220 @ 2.20GHz,24154,586,23.56,"$1,025.38*"
3991,Intel Xeon Gold 5220R @ 2.20GHz,31363,381,29.87,"$1,050.00"
3992,Intel Xeon Gold 5222 @ 3.80GHz,9483,1393,13.17,$720.24
3993,Intel Xeon Gold 5315Y @ 3.20GHz,20820,735,13.89,"$1,498.95"
3994,Intel Xeon Gold 5317 @ 3.00GHz,27448,484,24.18,"$1,135.00"
3995,Intel Xeon Gold 5318H @ 2.50GHz,29301,426,23.02,"$1,273.00*"
3996,Intel Xeon Gold 5318Y @ 2.10GHz,33139,349,22.11,"$1,498.95"
3997,Intel Xeon Gold 5320 @ 2.20GHz,37558,293,26.86,"$1,398.50"
3998,Intel Xeon Gold 5320H @ 2.40GHz,31718,372,20.4,"$1,555.00*"
3999,Intel Xeon Gold 5412U,52218,171,46.92,"$1,113.00*"
4000,Intel Xeon Gold 5415+,24969,554,23.42,"$1,066.00*"
4001,Intel Xeon Gold 5416S,35814,312,37.94,$944.00*
4002,Intel Xeon Gold 5418Y,46137,213,31.11,"$1,483.00*"
4003,Intel Xeon Gold 5420+,58209,132,31.5,"$1,848.00*"
4004,Intel Xeon Gold 5512U,60337,112,49.05,"$1,230.00*"
4005,Intel Xeon Gold 5515+,26501,508,24.11,"$1,099.00*"
4006,Intel Xeon Gold 5520+,61227,105,33.1,"$1,849.99*"
4007,Intel Xeon Gold 6122 @ 1.80GHz,23781,599,11.88,"$2,002.00*"
4008,Intel Xeon Gold 6126 @ 2.60GHz,19811,787,134.77,$147.00
4009,Intel Xeon Gold 6128 @ 3.40GHz,12811,1176,55.63,$230.29
4010,Intel Xeon Gold 6130 @ 2.10GHz,21170,715,22.31,$949.00*
4011,Intel Xeon Gold 6130T @ 2.10GHz,21804,687,8.55,"$2,550.00*"
4012,Intel Xeon Gold 6132 @ 2.60GHz,22213,665,341.74,$65.00
4013,Intel Xeon Gold 6134 @ 3.20GHz,16512,957,36.78,$449.00
4014,Intel Xeon Gold 6136 @ 3.00GHz,20977,727,26.26,$798.94*
4015,Intel Xeon Gold 6137 @ 3.90GHz,19365,812,,
4016,Intel Xeon Gold 6138 @ 2.00GHz,24013,593,111.38,$215.60
4017,Intel Xeon Gold 6138T @ 2.00GHz,20356,761,2.75,"$7,401.00*"
4018,Intel Xeon Gold 6140 @ 2.30GHz,24421,575,57.28,$426.34
4019,Intel Xeon Gold 6142 @ 2.60GHz,25490,537,62.68,$406.69
4020,Intel Xeon Gold 6143 @ 2.80GHz,24786,563,,
4021,Intel Xeon Gold 6144 @ 3.50GHz,19146,821,32.35,$591.86
4022,Intel Xeon Gold 6146 @ 3.20GHz,23296,618,29.71,$784.00
4023,Intel Xeon Gold 6148 @ 2.40GHz,29116,434,100.4,$290.00
4024,Intel Xeon Gold 6150 @ 2.70GHz,26695,503,136.2,$196.00
4025,Intel Xeon Gold 6152 @ 2.10GHz,24287,579,40.4,$601.15
4026,Intel Xeon Gold 6154 @ 3.00GHz,27560,481,50.66,$543.97
4027,Intel Xeon Gold 6208U @ 2.90GHz,24670,567,25.97,$950.00
4028,Intel Xeon Gold 6210U @ 2.50GHz,29344,424,27.44,"$1,069.43"
4029,Intel Xeon Gold 6212U @ 2.40GHz,27470,483,7.07,"$3,882.70*"
4030,Intel Xeon Gold 6222V @ 1.80GHz,24254,583,14.18,"$1,710.89*"
4031,Intel Xeon Gold 6226 @ 2.70GHz,20429,757,26.53,$769.95
4032,Intel Xeon Gold 6226R @ 2.90GHz,26405,514,33.01,$800.00
4033,Intel Xeon Gold 6230 @ 2.10GHz,26076,518,99.46,$262.19
4034,Intel Xeon Gold 6230R @ 2.10GHz,33608,341,48.01,$700.00
4035,Intel Xeon Gold 6234 @ 3.30GHz,17752,900,19.09,$929.95
4036,Intel Xeon Gold 6238 @ 2.10GHz,29118,433,40.43,$720.29
4037,Intel Xeon Gold 6238R @ 2.20GHz,34751,318,26.13,"$1,330.00"
4038,Intel Xeon Gold 6240 @ 2.60GHz,24677,566,49.85,$495.00
4039,Intel Xeon Gold 6240R @ 2.40GHz,33353,343,23.0,"$1,450.00"
4040,Intel Xeon Gold 6242 @ 2.80GHz,24994,553,45.44,$550.00
4041,Intel Xeon Gold 6242R @ 3.10GHz,34292,328,27.43,"$1,250.00"
4042,Intel Xeon Gold 6244 @ 3.60GHz,18657,847,6.28,"$2,970.00*"
4043,Intel Xeon Gold 6246 @ 3.30GHz,22571,649,7.25,"$3,113.22*"
4044,Intel Xeon Gold 6246R @ 3.40GHz,30468,398,19.32,"$1,577.00"
4045,Intel Xeon Gold 6248 @ 2.50GHz,29552,420,161.36,$183.15
4046,Intel Xeon Gold 6248R @ 3.00GHz,35434,313,22.15,"$1,600.00"
4047,Intel Xeon Gold 6250 @ 3.90GHz,20552,749,7.0,"$2,934.69"
4048,Intel Xeon Gold 6252 @ 2.10GHz,27148,490,26.97,"$1,006.40"
4049,Intel Xeon Gold 6253CL @ 3.10GHz,28549,446,,
4050,Intel Xeon Gold 6254 @ 3.10GHz,32494,359,29.57,"$1,098.95"
4051,Intel Xeon Gold 6256 @ 3.60GHz,23287,620,7.06,"$3,298.95*"
4052,Intel Xeon Gold 6258R @ 2.70GHz,40252,270,15.49,"$2,598.95"
4053,Intel Xeon Gold 6262 @ 1.90GHz,21823,685,,
4054,Intel Xeon Gold 6266C @ 3.00GHz,29049,435,,
4055,Intel Xeon Gold 6268CL @ 2.80GHz,34558,322,,
4056,Intel Xeon Gold 6278C @ 2.60GHz,32835,354,,
4057,Intel Xeon Gold 6312U @ 2.40GHz,42329,249,23.39,"$1,809.59*"
4058,Intel Xeon Gold 6314U @ 2.30GHz,48648,196,17.49,"$2,782.00*"
4059,Intel Xeon Gold 6326 @ 2.90GHz,34240,329,18.03,"$1,898.95"
4060,Intel Xeon Gold 6330 @ 2.00GHz,43056,245,33.9,"$1,270.00"
4061,Intel Xeon Gold 6330N @ 2.20GHz,36360,305,18.98,"$1,915.84"
4062,Intel Xeon Gold 6334 @ 3.60GHz,20512,752,11.13,"$1,842.45"
4063,Intel Xeon Gold 6336Y @ 2.40GHz,45517,225,18.97,"$2,398.95"
4064,Intel Xeon Gold 6338 @ 2.00GHz,38520,284,24.23,"$1,590.00"
4065,Intel Xeon Gold 6338N @ 2.20GHz,42086,250,9.01,"$4,671.69*"
4066,Intel Xeon Gold 6342 @ 2.80GHz,47076,204,16.26,"$2,895.95"
4067,Intel Xeon Gold 6346 @ 3.10GHz,37665,292,19.82,"$1,900.00"
4068,Intel Xeon Gold 6348 @ 2.60GHz,51843,173,24.72,"$2,097.00"
4069,Intel Xeon Gold 6354 @ 3.00GHz,39880,273,14.78,"$2,698.95"
4070,Intel Xeon Gold 6414U,57200,144,24.91,"$2,296.00*"
4071,Intel Xeon Gold 6416H,40606,266,28.12,"$1,444.00*"
4072,Intel Xeon Gold 6421N,58797,126,24.83,"$2,368.00*"
4073,Intel Xeon Gold 6423N,57434,139,26.58,"$2,161.00*"
4074,Intel Xeon Gold 6426Y,38373,285,25.29,"$1,517.00*"
4075,Intel Xeon Gold 6434,28111,459,11.91,"$2,359.45"
4076,Intel Xeon Gold 6438N,52789,166,15.75,"$3,351.00*"
4077,Intel Xeon Gold 6442Y,58534,131,20.34,"$2,878.00*"
4078,Intel Xeon Gold 6444Y,47176,203,13.02,"$3,622.00*"
4079,Intel Xeon Gold 6448Y,60449,109,16.87,"$3,583.00*"
4080,Intel Xeon Gold 6450C,38571,281,,
4081,Intel Xeon Gold 6526Y,45715,223,30.14,"$1,517.00*"
4082,Intel Xeon Gold 6530,65533,90,30.8,"$2,128.00*"
4083,Intel Xeon Gold 6538N,44895,232,13.4,"$3,351.00*"
4084,Intel Xeon Gold 6542Y,59047,121,20.52,"$2,878.00*"
4085,Intel Xeon Gold 6544Y,50319,183,13.89,"$3,622.00*"
4086,Intel Xeon Gold 6548Y+,70439,71,18.9,"$3,726.00*"
4087,Intel Xeon Gold 6554S,50777,179,15.04,"$3,375.82*"
4088,Intel Xeon L3110 @ 3.00GHz,1338,3694,,
4089,Intel Xeon L3360 @ 2.83GHz,2412,2985,27.03,$89.23*
4090,Intel Xeon L3406 @ 2.27GHz,1104,3915,4.28,$257.88*
4091,Intel Xeon L3426 @ 1.87GHz,2470,2941,,
4092,Intel Xeon L5240 @ 3.00GHz,1337,3695,42.57,$31.40*
4093,Intel Xeon L5310 @ 1.60GHz,1385,3666,12.31,$112.50*
4094,Intel Xeon L5320 @ 1.86GHz,1118,3901,15.97,$69.99*
4095,Intel Xeon L5335 @ 2.00GHz,1737,3414,92.43,$18.79*
4096,Intel Xeon L5408 @ 2.13GHz,1769,3398,,
4097,Intel Xeon L5410 @ 2.33GHz,1853,3329,18.52,$100.08*
4098,Intel Xeon L5420 @ 2.50GHz,2143,3148,77.91,$27.50*
4099,Intel Xeon L5430 @ 2.66GHz,2260,3075,10.32,$219.00*
4100,Intel Xeon L5520 @ 2.27GHz,2274,3066,78.43,$29.00*
4101,Intel Xeon L5530 @ 2.40GHz,2522,2919,40.68,$62.00*
4102,Intel Xeon L5609 @ 1.87GHz,3298,2555,,
4103,Intel Xeon L5630 @ 2.13GHz,3048,2662,27.15,$112.26*
4104,Intel Xeon L5638 @ 2.00GHz,3707,2400,53.03,$69.90*
4105,Intel Xeon L5639 @ 2.13GHz,4419,2207,,
4106,Intel Xeon L5640 @ 2.27GHz,4645,2158,51.64,$89.95*
4107,Intel Xeon L7455 @ 2.13GHz,2494,2935,,
4108,Intel Xeon Max 9480,84512,40,91.82,$920.40*
4109,Intel Xeon MV 3.20GHz,756,4298,,
4110,Intel Xeon Phi 7210 @ 1.30GHz,7306,1637,3.88,"$1,881.00*"
4111,Intel Xeon Phi 7290 @ 1.50GHz,17839,895,5.55,"$3,213.00*"
4112,Intel Xeon Platinum 8124M @ 3.00GHz,25350,541,,
4113,Intel Xeon Platinum 8151 @ 3.40GHz,16208,979,,
4114,Intel Xeon Platinum 8160 @ 2.10GHz,28825,440,24.43,"$1,179.91"
4115,Intel Xeon Platinum 8167M @ 2.00GHz,25396,538,,
4116,Intel Xeon Platinum 8168 @ 2.70GHz,32373,361,24.92,"$1,298.95"
4117,Intel Xeon Platinum 8171M @ 2.60GHz,29613,419,,
4118,Intel Xeon Platinum 8173M @ 2.00GHz,28025,466,,
4119,Intel Xeon Platinum 8175M @ 2.50GHz,26659,505,,
4120,Intel Xeon Platinum 8176 @ 2.10GHz,23179,625,8.3,"$2,793.70*"
4121,Intel Xeon Platinum 8180 @ 2.50GHz,38259,286,16.19,"$2,363.09*"
4122,Intel Xeon Platinum 8180M @ 2.50GHz,30313,402,,
4123,Intel Xeon Platinum 8252C @ 3.80GHz,28147,456,,
4124,Intel Xeon Platinum 8259CL @ 2.50GHz,31403,378,,
4125,Intel Xeon Platinum 8260 @ 2.40GHz,30347,401,18.5,"$1,640.00*"
4126,Intel Xeon Platinum 8260C @ 2.40GHz,34420,326,,
4127,Intel Xeon Platinum 8260M @ 2.30GHz,33970,335,4.41,"$7,705.00*"
4128,Intel Xeon Platinum 8260M @ 2.40GHz,34592,320,,
4129,Intel Xeon Platinum 8268 @ 2.90GHz,34062,333,5.67,"$6,005.98*"
4130,Intel Xeon Platinum 8270 @ 2.70GHz,29986,410,8.73,"$3,433.86*"
4131,Intel Xeon Platinum 8273CL @ 2.20GHz,35871,309,,
4132,Intel Xeon Platinum 8275CL @ 3.00GHz,40794,262,,
4133,Intel Xeon Platinum 8280 @ 2.70GHz,36830,301,12.53,"$2,940.00*"
4134,Intel Xeon Platinum 8347C @ 2.10GHz,49386,187,,
4135,Intel Xeon Platinum 8358 @ 2.60GHz,54416,159,12.66,"$4,298.95"
4136,Intel Xeon Platinum 8360Y @ 2.40GHz,54078,163,19.31,"$2,799.97*"
4137,Intel Xeon Platinum 8362 @ 2.80GHz,56787,147,9.89,"$5,740.00*"
4138,Intel Xeon Platinum 8368Q @ 2.60GHz,46681,206,,
4139,Intel Xeon Platinum 8375C @ 2.90GHz,56202,151,,
4140,Intel Xeon Platinum 8380 @ 2.30GHz,62318,102,8.54,"$7,301.00*"
4141,Intel Xeon Platinum 8454H,62347,101,9.53,"$6,540.00*"
4142,Intel Xeon Platinum 8461V,74982,63,16.7,"$4,491.00*"
4143,Intel Xeon Platinum 8470 @2.00GHz,89850,34,9.6,"$9,359.00*"
4144,Intel Xeon Platinum 8475B,3280,2564,,
4145,Intel Xeon Platinum 8481C @ 2.70GHz,11681,1245,,
4146,Intel Xeon Platinum 8488C,88667,36,,
4147,Intel Xeon Platinum 8571N,68385,80,,
4148,Intel Xeon Platinum 8575C,3342,2534,,
4149,Intel Xeon Platinum 8581C @ 2.30GHz,8040,1543,,
4150,Intel Xeon Platinum 8592+,84013,41,7.24,"$11,600.00*"
4151,Intel Xeon Platinum P-8124 @ 3.00GHz,22674,646,,
4152,Intel Xeon Silver 4108 @ 1.80GHz,9096,1439,68.76,$132.29
4153,Intel Xeon Silver 4109T @ 2.00GHz,10348,1328,24.35,$425.00
4154,Intel Xeon Silver 4110 @ 2.10GHz,10274,1335,77.31,$132.89
4155,Intel Xeon Silver 4112 @ 2.60GHz,6521,1777,28.3,$230.40
4156,Intel Xeon Silver 4114 @ 2.20GHz,13058,1162,816.64,$15.99
4157,Intel Xeon Silver 4116 @ 2.10GHz,14956,1031,196.78,$76.00
4158,Intel Xeon Silver 4116T @ 2.10GHz,15187,1023,13.66,"$1,112.00*"
4159,Intel Xeon Silver 4123 @ 3.00GHz,14405,1067,,
4160,Intel Xeon Silver 4208 @ 2.10GHz,11198,1273,33.94,$329.98
4161,Intel Xeon Silver 4209T @ 2.20GHz,11080,1280,17.07,$649.25*
4162,Intel Xeon Silver 4210 @ 2.20GHz,13556,1122,72.11,$188.00
4163,Intel Xeon Silver 4210R @ 2.40GHz,15162,1025,39.9,$380.00
4164,Intel Xeon Silver 4214 @ 2.20GHz,16320,971,60.44,$270.00*
4165,Intel Xeon Silver 4214R @ 2.40GHz,17834,896,34.63,$514.93
4166,Intel Xeon Silver 4214Y @ 2.20GHz,16442,963,21.92,$750.00
4167,Intel Xeon Silver 4215 @ 2.50GHz,14439,1061,26.55,$543.84
4168,Intel Xeon Silver 4215R @ 3.20GHz,14987,1029,18.82,$796.33
4169,Intel Xeon Silver 4216 @ 2.10GHz,20877,731,26.1,$800.00
4170,Intel Xeon Silver 4216R @ 2.20GHz,24027,591,,
4171,Intel Xeon Silver 4309Y @ 2.80GHz,18898,835,32.87,$575.00
4172,Intel Xeon Silver 4310 @ 2.10GHz,21903,679,46.11,$475.00
4173,Intel Xeon Silver 4310T @ 2.30GHz,20607,745,29.13,$707.48
4174,Intel Xeon Silver 4314 @ 2.40GHz,28946,437,31.83,$909.45
4175,Intel Xeon Silver 4316 @ 2.30GHz,31903,368,25.73,"$1,239.95"
4176,Intel Xeon Silver 4410T,28759,441,41.93,$685.92
4177,Intel Xeon Silver 4410Y,24797,562,44.05,$563.00*
4178,Intel Xeon Silver 4416+,44140,233,37.53,"$1,176.00*"
4179,Intel Xeon Silver 4509Y,18749,845,,
4180,Intel Xeon Silver 4510,33177,348,58.93,$563.00*
4181,Intel Xeon Silver 4510T,29119,432,46.67,$624.00*
4182,Intel Xeon Silver 4514Y,28456,449,38.54,$738.38
4183,Intel Xeon W-10855M @ 2.80GHz,12298,1207,27.33,$450.00*
4184,Intel Xeon W-10885M @ 2.40GHz,15464,1010,24.82,$623.00*
4185,Intel Xeon W-11155MLE @ 1.80GHz,8502,1487,35.13,$242.00*
4186,Intel Xeon W-11555MLE @ 1.90GHz,12591,1191,36.18,$348.00*
4187,Intel Xeon W-11555MRE @ 2.60GHz,17484,915,53.63,$326.00*
4188,Intel Xeon W-11855M @ 3.20GHz,17888,894,39.75,$450.00*
4189,Intel Xeon W-11865MLE @ 1.50GHz,15917,990,34.08,$467.00*
4190,Intel Xeon W-11865MRE @ 2.60GHz,19589,797,40.81,$480.00*
4191,Intel Xeon W-11955M @ 2.60GHz,22093,671,35.46,$623.00*
4192,Intel Xeon W-1250 @ 3.30GHz,13737,1111,41.19,$333.48*
4193,Intel Xeon W-1250E @ 3.50GHz,12212,1216,46.97,$260.00*
4194,Intel Xeon W-1250P @ 4.10GHz,14355,1074,44.65,$321.50*
4195,Intel Xeon W-1270 @ 3.40GHz,17573,907,48.54,$362.00*
4196,Intel Xeon W-1270E @ 3.40GHz,18635,850,50.78,$367.00*
4197,Intel Xeon W-1270P @ 3.80GHz,17099,938,36.34,$470.52*
4198,Intel Xeon W-1270TE @ 2.00GHz,13553,1123,36.93,$367.00*
4199,Intel Xeon W-1290 @ 3.20GHz,20073,780,34.1,$588.67*
4200,Intel Xeon W-1290E @ 3.50GHz,19060,828,38.12,$500.00*
4201,Intel Xeon W-1290P @ 3.70GHz,22344,660,34.41,$649.40*
4202,Intel Xeon W-1290T @ 1.90GHz,18409,863,37.27,$494.00*
4203,Intel Xeon W-1290TE @ 1.80GHz,14505,1059,26.28,$552.00*
4204,Intel Xeon W-1350 @ 3.30GHz,18775,843,55.88,$335.99*
4205,Intel Xeon W-1350P @ 4.00GHz,19611,796,52.69,$372.23*
